Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT5G24460	0.51	0.262978673	0.718700646	MEG	20.46	4162	1.05	1.69E-06	7.46E-05	MEG	52.67	177.5	0.87	0.223416358	1	MEG	42.83	7742	2.30E-06	4027.2	AT5G24460.1		NA	NA	NA	NA	NA	6913
AT3G06350	0.38	0.198569	0.641746768	MEG	12.72	3509	0.96	0.037633019	0.351602498	MEG	48.00	833.5	0.58	0.158214205	1	MEG	24.99	7742	0.007199238	4028.2	NA	NA	1.94	1.28E-58	6.99E-57	MEG	78.92	253
AT1G09900	-0.69	0.083867246	0.430378293	PEG	32.49	2210.5	-0.51	0.206363234	0.754917636	PEG	20.89	2133	0.40	0.348715813	1	MEG	13.65	7742	0.704156262	4028.5	AT1G09900.1	Pentatricopeptide repeat (PPR-like) superfamily protein	-0.79	0.009115399	0.020077985	PEG	38.39	6277
AT1G64240	-0.44	0.152963694	0.573575927	PEG	15.92	3025	-0.52	0.093191841	0.549878702	PEG	21.42	1322.5	-0.27	0.535321452	1	PEG	6.61	7742	0.98983028	4029.8	AT1G64240.1	transposable element gene	NA	NA	NA	NA	NA	6913
AT1G64850	4.80	3.28E-05	0.000820635	MEG	95.84	453	NA	NA	NA	NA	NA	3896	1.49	0.415228457	1	MEG	68.98	7742	4.62E-05	4030.3	AT1G64850.1	Calcium-binding EF hand family protein	NA	NA	NA	NA	NA	6913
AT5G63810	-0.44	0.150712354	0.569491441	PEG	16.36	3003	-0.88	0.095620969	0.553753577	PEG	43.69	1347	0.16	0.765281469	1	MEG	2.39	7742	0.902821678	4030.7	AT5G63810.1	beta-galactosidase 10	0.11	0.797058148	0.840553627	MEG	1.14	13110.5
AT1G49490	4.94	3.55E-05	0.000883993	MEG	96.06	456	NA	NA	NA	NA	NA	3896	2.29	0.285591071	1	MEG	83.98	7742	3.52E-05	4031.3	AT1G49490.1	Leucine-rich repeat (LRR) family protein	-2.55	4.21E-19	5.63E-18	PEG	86.68	1035
AT1G17780	-1.73	3.90E-05	0.000969169	PEG	74.90	457	NA	NA	NA	NA	NA	3896	-0.95	0.126668218	1	PEG	47.60	7742	0.997949464	4031.7	AT1G17780.1		NA	NA	NA	NA	NA	6913
AT1G59610	0.29	0.154199954	0.57703989	MEG	7.86	3031.5	0.35	0.093573522	0.549878702	MEG	11.17	1322.5	0.21	0.511214734	1	MEG	4.37	7742	0.029884685	4032.0	AT1G59610.1	dynamin-like 3	1.02	0.017635532	0.035799276	MEG	50.88	6811
AT4G33990	1.68	0.110075823	0.494417944	MEG	73.95	2524.5	-0.76	0.165022319	0.700906456	PEG	36.82	1834	-0.29	0.876625127	1	PEG	7.97	7742	0.309413527	4033.5	AT4G33990.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-1.27	0.18122321	0.255333955	PEG	61.66	9813
AT1G78000	2.21	4.50E-05	0.00110142	MEG	83.07	463	NA	NA	NA	NA	NA	3896	1.40	0.150810197	1	MEG	66.36	7742	2.42E-05	4033.7	AT1G78000.1	"sulfate transporter 1;2"	0.38	0.440246526	0.522072945	MEG	12.72	11658.5
AT5G35790	-0.35	0.135730092	0.5421079	PEG	10.77	2840	-0.28	0.118518253	0.607961967	PEG	7.27	1519	-0.14	0.675833045	1	PEG	1.90	7742	0.982078585	4033.7	AT5G35790.1	glucose-6-phosphate dehydrogenase 1	-0.34	0.607081035	0.679360776	PEG	10.33	12354.5
AT2G47030	3.56	4.73E-05	0.001155873	MEG	92.68	464	NA	NA	NA	NA	NA	3896	0.22	0.892576117	1	MEG	4.73	7742	0.000131456	4034.0	NA	NA	NA	NA	NA	NA	NA	6913
AT1G49475	-0.62	0.002089357	0.029923709	PEG	27.99	792	-0.22	0.411455432	0.893494288	PEG	4.77	3569	-0.12	0.752802405	1	PEG	1.47	7742	0.96541624	4034.3	AT1G49475.1	AP2/B3-like transcriptional factor family protein	-4.18	2.46E-23	4.22E-22	PEG	94.59	805
AT2G26410	3.61	4.78E-05	0.001164824	MEG	92.89	465	NA	NA	NA	NA	NA	3896	0.39	0.832824243	1	MEG	13.25	7742	0.000124463	4034.3	AT2G26410.1	IQ-domain 4	NA	NA	NA	NA	NA	6913
AT2G22125	-0.31	0.199119229	0.642256423	PEG	8.91	3519.5	0.71	0.038734116	0.357596257	MEG	33.45	843.5	0.24	0.568863051	1	MEG	5.51	7742	0.10111207	4035.0	AT2G22125.1	binding	1.74	2.72E-10	1.89E-09	MEG	75.22	1990
AT5G24600	-0.44	0.103171282	0.482785418	PEG	16.08	2423.5	-0.44	0.178727576	0.717488548	PEG	16.09	1941	-0.40	0.373049948	1	PEG	13.93	7742	0.994359979	4035.5	AT5G24600.1	Protein of unknown function, DUF599	NA	NA	NA	NA	NA	6913
AT4G10010	3.67	0.011536644	0.119289112	MEG	93.07	1097	NA	NA	NA	NA	NA	3896	NA	NA	NA	NA	NA	7114.5	NA	4035.8	AT4G10010.1	Protein kinase superfamily protein	NA	NA	NA	NA	NA	6913
AT4G32140	0.88	0.17039443	0.601764104	MEG	43.85	3210.5	1.53	0.075102841	0.503844541	MEG	69.94	1161	0.94	0.289372106	1	MEG	46.65	7742	0.017661137	4037.8	AT4G32140.1	EamA-like transporter family	-0.10	0.890932953	0.917134912	PEG	1.02	13430.5
AT3G05345	1.30	0.055825344	0.346404197	MEG	62.72	1828	0.60	0.262632533	0.801360542	MEG	26.57	2549	-0.47	0.676719394	1	PEG	18.34	7742	0.06100079	4039.7	NA	NA	NA	NA	NA	NA	NA	6913
AT1G74730	-0.45	0.209496134	0.652509332	PEG	16.59	3641.5	-0.74	0.029093317	0.305888185	PEG	35.23	741	-0.27	0.55040813	1	PEG	6.69	7742	0.989302565	4041.5	AT1G74730.1	Protein of unknown function (DUF1118)	-1.88	1.44E-08	8.46E-08	PEG	77.86	2352
AT5G08640	1.68	7.50E-05	0.001740263	MEG	73.78	488.5	NA	NA	NA	NA	NA	3896	1.87	0.114279137	1	MEG	77.78	7742	3.01E-05	4042.2	AT5G08640.1	flavonol synthase 1	5.61	5.20E-28	1.10E-26	MEG	96.92	652
AT5G13120	0.51	0.182645147	0.622054128	MEG	20.43	3330	-0.48	0.062692087	0.461645	PEG	18.93	1056	0.28	0.525896722	1	MEG	7.33	7742	0.275253709	4042.7	AT5G13120.1	cyclophilin 20-2	1.45	0.002122458	0.005491223	MEG	67.65	5343.5
AT5G42090	0.30	0.08381243	0.430368671	MEG	8.04	2209	0.24	0.21159828	0.758610242	MEG	5.30	2181	0.33	0.286312458	1	MEG	9.82	7742	0.022509421	4044.0	AT5G42090.1	Lung seven transmembrane receptor family protein	2.78	1.48E-50	6.48E-49	MEG	88.57	316
AT4G16780	-0.34	0.05848193	0.353183806	PEG	10.09	1879	-0.41	0.256861692	0.796296561	PEG	14.15	2512.5	-0.04	0.925028306	1	PEG	0.14	7742	0.954288686	4044.5	AT4G16780.1	homeobox protein 2	-0.14	0.702872324	0.762428429	PEG	1.93	12744.5
AT2G14880	-0.29	0.159327086	0.584831381	PEG	7.84	3090	-0.32	0.090838841	0.542875973	PEG	9.32	1302.5	-0.10	0.772662153	1	PEG	0.94	7742	0.975089932	4044.8	AT2G14880.1	SWIB/MDM2 domain superfamily protein	-1.75	8.51E-15	8.60E-14	PEG	75.30	1367
AT3G50500	0.56	0.017058282	0.160175576	MEG	23.70	1208	0.23	0.353537855	0.863563313	MEG	4.93	3189.5	0.64	0.121360651	1	MEG	28.84	7742	0.004898022	4046.5	AT3G50500.1	SNF1-related protein kinase 2.2	2.78	1.26E-32	3.14E-31	MEG	88.54	557
AT2G47990	-0.89	0.069119178	0.39083691	PEG	44.47	2005.5	-0.24	0.240934675	0.78425765	PEG	5.30	2392.5	0.09	0.901656178	1	MEG	0.83	7742	0.926870984	4046.7	NA	NA	0.22	0.803240155	0.845883037	MEG	4.65	13129
AT1G65486	-2.52	0.050811468	0.328851457	PEG	86.42	1754.5	-1.08	0.276629036	0.814448892	PEG	53.63	2645	-1.50	0.581667474	1	PEG	69.19	7742	0.984189584	4047.2	AT1G65486.1		NA	NA	NA	NA	NA	6913
AT1G64690	-1.96	0.012727232	0.128438606	PEG	79.37	1123.5	-0.40	0.365975355	0.868706245	PEG	13.62	3277.5	-1.55	0.270578393	1	PEG	70.53	7742	0.994323592	4047.7	AT1G64690.1	branchless trichome	NA	NA	NA	NA	NA	6913
AT5G67610	2.76	9.90E-05	0.002224192	MEG	88.42	505	NA	NA	NA	NA	NA	3896	-0.16	0.779067591	1	PEG	2.40	7742	0.000344772	4047.7	AT5G67610.1	Uncharacterized conserved protein (DUF2215)	-0.52	0.550178343	0.627672726	PEG	21.57	12119
AT3G21570	1.67	0.013475214	0.134906752	MEG	73.67	1133	NA	NA	NA	NA	NA	3896	NA	NA	NA	NA	NA	7114.5	NA	4047.8	NA	NA	NA	NA	NA	NA	NA	6913
AT1G56420	0.77	0.100622254	0.477025341	MEG	37.41	2392	0.67	0.192071447	0.741268308	MEG	30.83	2017	0.69	0.407711535	1	MEG	32.42	7742	0.031406747	4050.3	AT1G56420.1		NA	NA	NA	NA	NA	6913
AT5G59370	3.25	0.000123865	0.002738793	MEG	91.37	513	NA	NA	NA	NA	NA	3896	-0.90	0.773775377	1	PEG	44.56	7742	0.000424472	4050.3	AT5G59370.1	actin 4	NA	NA	NA	NA	NA	6913
AT2G07180	-0.64	0.016971511	0.159625084	PEG	28.90	1205	0.36	0.354387269	0.864422379	MEG	11.53	3205	-0.21	0.700336425	1	PEG	4.05	7742	0.630748141	4050.7	AT2G07180.1	Protein kinase superfamily protein	NA	NA	NA	NA	NA	6913
AT4G35700	3.61	0.00012557	0.0027711	MEG	92.88	514	NA	NA	NA	NA	NA	3896	1.18	0.736360449	1	MEG	58.26	7742	0.000269882	4050.7	AT4G35700.1	zinc finger (C2H2 type) family protein	NA	NA	NA	NA	NA	6913
AT1G12640	0.48	0.064529952	0.374828889	MEG	18.41	1952.5	0.29	0.249400329	0.789481217	MEG	7.59	2459	0.53	0.134087367	1	MEG	22.25	7742	0.011595337	4051.2	AT1G12640.1	MBOAT (membrane bound O-acyl transferase) family protein	1.64	3.37E-18	4.25E-17	MEG	72.97	1095
AT5G22700	1.21	0.000131908	0.002899685	MEG	59.30	516	NA	NA	NA	NA	NA	3896	0.74	0.19930986	1	MEG	35.38	7742	8.50E-05	4051.3	AT5G22700.1	F-box/RNI-like/FBD-like domains-containing protein	1.31	0.009091563	0.020028672	MEG	63.30	6276
AT5G42050	0.78	0.00483885	0.059789846	MEG	37.86	918	0.26	0.399478871	0.889699188	MEG	6.28	3497	0.74	0.277434724	1	MEG	35.11	7742	0.0038069	4052.3	AT5G42050.1	DCD (Development and Cell Death) domain protein	NA	NA	NA	NA	NA	6913
AT5G14280	-1.12	0.01596643	0.152318936	PEG	55.61	1186	-0.43	0.359519792	0.865987621	PEG	15.78	3229.5	-0.42	0.43883642	1	PEG	14.85	7742	0.988867903	4052.5	AT5G14280.1	DNA-binding storekeeper protein-related	0.64	0.119240039	0.181625293	MEG	29.04	9077
AT5G67550	-1.16	0.031327794	0.242979191	PEG	57.21	1462.5	0.66	0.320048629	0.843761937	MEG	30.66	2955.5	-0.21	0.85793435	1	PEG	4.15	7742	0.567482778	4053.3	AT5G67550.1		NA	NA	NA	NA	NA	6913
AT5G25950	-0.61	0.199682048	0.642256423	PEG	27.28	3519.5	1.45	0.044718956	0.38673708	MEG	67.70	901	-0.20	0.840680144	1	PEG	3.85	7742	0.179164708	4054.2	AT5G25950.1	Protein of Unknown Function (DUF239)	NA	NA	NA	NA	NA	6913
AT3G02630	-0.41	0.144398393	0.558251865	PEG	14.54	2934	-0.95	0.113677294	0.595309418	PEG	47.20	1487.5	-0.12	0.806430107	1	PEG	1.44	7742	0.971695782	4054.5	NA	NA	1.83	0.000150654	0.000491377	MEG	76.99	4239
AT5G65910	0.45	0.011061095	0.115892147	MEG	16.62	1082.5	0.22	0.374699436	0.873364644	MEG	4.62	3343	0.18	0.552525825	1	MEG	3.24	7742	0.012148523	4055.8	AT5G65910.1	BSD domain-containing protein	NA	NA	NA	NA	NA	6913
AT1G55920	2.72	0.000162038	0.003467929	MEG	88.13	530	NA	NA	NA	NA	NA	3896	1.56	0.134716582	1	MEG	70.75	7742	7.16E-05	4056.0	AT1G55920.1	"serine acetyltransferase 2;1"	4.15	1.39E-19	1.90E-18	MEG	94.52	1007
AT5G25070	0.55	0.037206925	0.272740507	MEG	23.06	1548	0.18	0.310473048	0.84058582	MEG	3.16	2878	-0.06	0.873195541	1	PEG	0.36	7742	0.04561561	4056.0	AT5G25070.1		NA	NA	NA	NA	NA	6913
AT5G45880	3.63	0.000167509	0.003551511	MEG	92.93	535	NA	NA	NA	NA	NA	3896	-0.12	0.989719212	1	PEG	1.32	7742	0.000468371	4057.7	AT5G45880.1	Pollen Ole e 1 allergen and extensin family protein	NA	NA	NA	NA	NA	6913
AT1G07705	-1.52	0.00017988	0.003771503	PEG	69.73	541	NA	NA	NA	NA	NA	3896	-1.09	0.313115294	1	PEG	54.26	7742	0.987037068	4059.7	AT1G07705.1	NOT2 / NOT3 / NOT5 family	-0.55	0.212287105	0.290085147	PEG	23.09	10117.5
AT5G18680	-0.24	0.55725987	0.883437974	PEG	5.54	7153	NA	NA	NA	NA	NA	3896	-0.96	0.06765863	0.851206586	PEG	47.77	1131	0.948583945	4060.0	AT5G18680.1	tubby like protein 11	1.05	0.065539637	0.110789953	MEG	52.43	8179
AT1G53200	-0.76	0.262863961	0.718700646	PEG	36.41	4162	-1.57	0.000302534	0.008510274	PEG	71.14	277	-0.71	0.51322508	1	PEG	33.24	7742	0.989904248	4060.3	AT1G53200.1		0.93	0.29899337	0.382059365	MEG	46.48	10819.5
AT4G19410	-0.50	0.08009076	0.418456698	PEG	20.06	2171	0.72	0.223977068	0.768451456	MEG	33.96	2271	0.06	0.902757146	1	MEG	0.33	7742	0.417462061	4061.3	AT4G19410.1	Pectinacetylesterase family protein	3.77	4.76E-21	7.14E-20	MEG	93.42	922
AT5G38980	-0.98	0.176883164	0.613949121	PEG	49.19	3268	1.30	0.077981085	0.514068198	MEG	62.76	1178.5	-0.64	0.785250977	1	PEG	29.13	7742	0.263187831	4062.8	AT5G38980.1		3.46	7.60E-05	0.000262929	MEG	92.28	3995.5
AT1G21060	2.65	0.000211459	0.004353136	MEG	87.53	551	NA	NA	NA	NA	NA	3896	1.21	0.505165116	1	MEG	59.33	7742	0.000307931	4063.0	AT1G21060.1	Protein of unknown function, DUF547	3.00	8.04E-06	3.32E-05	MEG	90.03	3355
AT5G07190	2.19	0.000230641	0.004696871	MEG	82.71	557	NA	NA	NA	NA	NA	3896	-0.82	0.88278912	1	PEG	40.05	7742	0.000686065	4065.0	AT5G07190.1	seed gene 3	NA	NA	NA	NA	NA	6913
AT2G26270	4.46	0.000234729	0.004753057	MEG	95.22	560.5	NA	NA	NA	NA	NA	3896	-1.54	0.47605525	1	PEG	70.24	7742	0.000923088	4066.2	AT2G26270.1		-0.68	0.328919035	0.411104193	PEG	31.90	11061.5
AT5G24250	4.46	0.000235076	0.004753057	MEG	95.22	560.5	NA	NA	NA	NA	NA	3896	1.95	0.339318745	1	MEG	79.14	7742	0.000235762	4066.2	AT5G24250.1		NA	NA	NA	NA	NA	6913
AT5G43130	-0.36	0.094128344	0.457650152	PEG	11.28	2333	0.24	0.205947116	0.754816523	MEG	5.50	2126	0.13	0.712307101	1	MEG	1.62	7742	0.348719974	4067.0	AT5G43130.1	TBP-associated factor 4	0.52	0.011676435	0.024851968	MEG	21.45	6496
AT1G56220	1.19	0.000258926	0.005189033	MEG	58.58	566	NA	NA	NA	NA	NA	3896	0.25	0.615523539	1	MEG	6.01	7742	0.000443482	4068.0	AT1G56220.1	Dormancy/auxin associated family protein	NA	NA	NA	NA	NA	6913
AT5G13770	-0.78	0.163472459	0.589843884	PEG	38.10	3143	-0.54	0.093558837	0.549878702	PEG	22.62	1322.5	-0.47	0.503092988	1	PEG	18.07	7742	0.990787529	4069.2	AT5G13770.1	Pentatricopeptide repeat (PPR-like) superfamily protein	-0.63	0.554332689	0.631321394	PEG	28.48	12139.5
AT2G33780	-2.29	0.00027483	0.005459533	PEG	84.02	571	NA	NA	NA	NA	NA	3896	-1.52	0.232193429	1	PEG	69.78	7742	0.992968696	4069.7	NA	NA	-4.27	1.97E-90	2.20E-88	PEG	94.80	124
AT5G47430	0.57	0.046590725	0.31326532	MEG	24.25	1686.5	0.31	0.297602878	0.832969514	MEG	8.90	2781	0.45	0.365800562	1	MEG	16.92	7742	0.022490422	4069.8	AT5G47430.1	DWNN domain, a CCHC-type zinc finger	1.32	8.92E-06	3.64E-05	MEG	63.67	3385
AT5G47620	1.76	0.000275536	0.005464004	MEG	75.69	572	NA	NA	NA	NA	NA	3896	0.17	0.715757944	1	MEG	2.86	7742	0.00053828	4070.0	AT5G47620.1	RNA-binding (RRM/RBD/RNP motifs) family protein	0.75	0.003509105	0.008611446	MEG	36.27	5634
AT1G12830	-0.69	0.090619477	0.449059293	PEG	32.06	2289	0.37	0.212045209	0.758610242	MEG	11.80	2181	0.45	0.284994635	1	MEG	17.09	7742	0.205144803	4070.7	AT1G12830.1		0.11	0.741175436	0.794872136	MEG	1.28	12891.5
AT5G09700	1.62	0.141065908	0.550094437	MEG	72.38	2899.5	-0.88	0.12588892	0.623602329	PEG	43.75	1572	-0.84	0.794973291	1	PEG	41.30	7742	0.375055327	4071.2	AT5G09700.1	Glycosyl hydrolase family protein	-1.27	0.049503039	0.087044261	PEG	61.84	7863
AT5G39400	2.14	0.000285887	0.005607113	MEG	82.07	578.5	NA	NA	NA	NA	NA	3896	1.36	0.533259182	1	MEG	65.01	7742	0.000425911	4072.2	AT5G39400.1	Calcium/lipid-binding (CaLB) phosphatase	NA	NA	NA	NA	NA	6913
AT5G45980	2.07	0.000294351	0.005746681	MEG	81.11	581	NA	NA	NA	NA	NA	3896	1.71	0.324164045	1	MEG	74.57	7742	0.000277751	4073.0	AT5G45980.1	WUSCHEL related homeobox 8	NA	NA	NA	NA	NA	6913
AT1G80130	-0.62	0.052171592	0.334340318	PEG	27.94	1769.5	0.55	0.285302318	0.820844037	MEG	23.13	2709	-0.21	0.701386206	1	PEG	4.13	7742	0.568237213	4073.5	AT1G80130.1	Tetratricopeptide repeat (TPR)-like superfamily protein	8.04	5.92E-12	4.81E-11	MEG	98.47	1702
AT5G19120	0.38	0.245406918	0.697704053	MEG	12.41	3989.5	0.05	0.919592889	0.994808813	MEG	0.23	7159	0.76	0.058337824	0.773615008	MEG	36.74	1072.5	0.045998349	4073.7	AT5G19120.1	Eukaryotic aspartyl protease family protein	1.83	0.002132439	0.00551292	MEG	76.92	5347
AT5G04180	1.85	0.000319421	0.006193488	MEG	77.47	584.5	NA	NA	NA	NA	NA	3896	0.64	0.802525857	1	MEG	29.34	7742	0.000682853	4074.2	AT5G04180.1	alpha carbonic anhydrase 3	-4.69	1.03E-18	1.34E-17	PEG	95.65	1058
AT5G16500	2.61	0.000325809	0.006306565	MEG	87.24	586	NA	NA	NA	NA	NA	3896	-1.57	0.570356344	1	PEG	71.17	7742	0.001171238	4074.7	AT5G16500.1	Protein kinase superfamily protein	NA	NA	NA	NA	NA	6913
AT1G21790	1.03	0.000342756	0.00657848	MEG	51.69	591	NA	NA	NA	NA	NA	3896	0.41	0.595665515	1	MEG	14.54	7742	0.000555483	4076.3	AT1G21790.1	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	3.96	5.48E-07	2.68E-06	MEG	94.02	2823
AT1G77610	0.39	0.243448125	0.694874707	MEG	13.24	3974	0.84	0.008850067	0.133642878	MEG	41.09	516	0.07	0.870403708	1	MEG	0.49	7742	0.010382207	4077.3	AT1G77610.1	EamA-like transporter family protein	2.22	1.11E-07	5.95E-07	MEG	83.08	2573
AT2G25600	4.39	0.000351767	0.006717321	MEG	95.06	594	NA	NA	NA	NA	NA	3896	0.29	0.917198713	1	MEG	7.73	7742	0.000840902	4077.3	AT2G25600.1	Shaker pollen inward K+ channel	NA	NA	NA	NA	NA	6913
AT4G18870	-2.22	0.000368754	0.007018077	PEG	83.09	596	NA	NA	NA	NA	NA	3896	-1.38	0.473775535	1	PEG	65.50	7742	0.969381699	4078.0	AT4G18870.1	E2F/DP family winged-helix DNA-binding domain	NA	NA	NA	NA	NA	6913
AT3G04090	0.40	0.263959755	0.718700646	MEG	13.91	4162	0.91	0.001126801	0.026525786	MEG	45.04	331	0.37	0.376834749	1	MEG	12.04	7742	0.001045502	4078.3	NA	NA	2.30	4.71E-12	3.85E-11	MEG	84.09	1692
AT3G09710	4.50	0.000369446	0.007019475	MEG	95.29	597	NA	NA	NA	NA	NA	3896	2.14	0.502449659	1	MEG	82.05	7742	0.000509459	4078.3	NA	NA	5.08	6.90E-25	1.29E-23	MEG	96.27	742
AT3G02460	4.37	0.000370674	0.007031026	MEG	95.03	598	NA	NA	NA	NA	NA	3896	1.06	0.133968391	1	MEG	53.02	7742	0.000152658	4078.7	NA	NA	2.31	2.17E-05	8.33E-05	MEG	84.26	3608
AT3G43280	0.81	0.243022679	0.694184398	MEG	39.37	3970.5	3.43	0.009647716	0.142376894	MEG	92.16	528	-1.38	0.394957929	1	PEG	65.72	7742	0.01788203	4080.2	AT3G43280.1		NA	NA	NA	NA	NA	6913
AT1G59670	-0.63	0.215091216	0.658330534	PEG	28.29	3704.5	-1.65	0.033535825	0.326803043	PEG	73.03	796.5	-0.71	0.528465032	1	PEG	33.29	7742	0.989908418	4081.0	AT1G59670.1	glutathione S-transferase TAU 15	NA	NA	NA	NA	NA	6913
AT1G19710	1.05	0.069580423	0.392117688	MEG	52.26	2012.5	0.70	0.253971977	0.794796568	MEG	33.04	2489	0.68	0.6251666	1	MEG	31.84	7742	0.040414914	4081.2	AT1G19710.1	UDP-Glycosyltransferase superfamily protein	2.81	1.08E-06	5.03E-06	MEG	88.76	2960
AT1G17500	-0.10	0.882988425	0.978527572	PEG	0.91	10232.5	0.62	0.068938415	0.479614404	MEG	27.59	1119	1.96	0.033619995	0.532654165	MEG	79.35	898.5	0.013373099	4083.3	AT1G17500.1	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	1.20	0.168576219	0.240629238	MEG	59.06	9685.5
AT4G05020	-0.62	0.207599492	0.649907379	PEG	28.03	3624	1.14	0.042695885	0.375916762	MEG	56.65	885	-0.92	0.115291404	1	PEG	46.02	7742	0.23580239	4083.7	AT4G05020.1	NAD(P)H dehydrogenase B2	-0.05	0.852272458	0.885645923	PEG	0.29	13304.5
AT4G10960	0.69	0.029267539	0.233625397	MEG	32.19	1421	-0.46	0.342052265	0.855905923	PEG	17.36	3092.5	0.27	0.650954963	1	MEG	6.67	7742	0.086270066	4085.2	AT4G10960.1	UDP-D-glucose/UDP-D-galactose 4-epimerase 5	1.79	4.40E-06	1.89E-05	MEG	76.16	3222
AT3G10200	-0.31	0.048197197	0.319281313	PEG	8.86	1710.5	-0.20	0.300330447	0.835769122	PEG	3.97	2803.5	-0.20	0.590369811	1	PEG	3.90	7742	0.98265703	4085.3	NA	NA	NA	NA	NA	NA	NA	6913
AT4G31860	3.24	0.000503588	0.009228099	MEG	91.29	619	NA	NA	NA	NA	NA	3896	2.79	0.119723096	1	MEG	88.60	7742	0.00018242	4085.7	AT4G31860.1	Protein phosphatase 2C family protein	2.85	5.95E-05	0.000210601	MEG	89.02	3905
AT3G61990	-0.59	0.126433969	0.526244295	PEG	25.65	2724.5	-0.69	0.158070629	0.688562509	PEG	32.47	1792	-0.17	0.745057029	1	PEG	2.77	7742	0.975510305	4086.2	AT3G61990.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	0.47	0.616670227	0.688253355	MEG	18.37	12388
AT4G22260	0.45	0.074249741	0.40597036	MEG	16.72	2075	0.42	0.247811113	0.789106741	MEG	15.16	2445	-0.06	0.878508	1	PEG	0.41	7742	0.063768734	4087.3	AT4G22260.1	Alternative oxidase family protein	1.59	4.22E-10	2.87E-09	MEG	71.66	2034
AT1G72520	2.06	0.000531494	0.009645978	MEG	80.99	625	NA	NA	NA	NA	NA	3896	1.08	0.346908448	1	MEG	53.83	7742	0.000506344	4087.7	AT1G72520.1	PLAT/LH2 domain-containing lipoxygenase family protein	5.68	0.003377168	0.008318676	MEG	96.99	5613
AT3G56250	4.30	0.000535565	0.009704329	MEG	94.86	626	NA	NA	NA	NA	NA	3896	0.11	0.94467809	1	MEG	1.20	7742	0.001261728	4088.0	AT3G56250.1		0.72	0.570982566	0.646552413	MEG	34.37	12210
AT5G44785	-0.72	0.007412449	0.084842995	PEG	33.90	990	0.30	0.405273935	0.893354316	MEG	8.32	3532	-0.33	0.503201092	1	PEG	9.66	7742	0.706454203	4088.0	AT5G44785.1	organellar single-stranded DNA binding protein 3	-0.37	0.147800078	0.21644782	PEG	11.95	9441
AT4G32920	0.55	0.07889028	0.415052157	MEG	23.24	2154	0.29	0.237491902	0.780487937	MEG	7.69	2370	0.07	0.89502588	1	MEG	0.42	7742	0.054892781	4088.7	AT4G32920.1	glycine-rich protein	1.48	0.006123565	0.014108384	MEG	68.52	6001
AT1G57600	0.11	0.782176382	0.954357452	MEG	1.15	9269.5	-0.73	0.183019955	0.725377155	PEG	34.49	1966	1.35	0.0532563	0.732866428	MEG	64.58	1032.5	0.156305535	4089.3	AT1G57600.1	MBOAT (membrane bound O-acyl transferase) family protein	0.53	0.322898653	0.405338367	MEG	21.73	11014
AT4G02730	-0.62	0.137764313	0.544481047	PEG	27.98	2869	-0.67	0.137655465	0.647321291	PEG	31.15	1657	0.29	0.701795747	1	MEG	7.70	7742	0.881661256	4089.3	AT4G02730.1	Transducin/WD40 repeat-like superfamily protein	1.10	0.222224299	0.300654563	MEG	54.93	10219.5
AT4G12640	0.70	0.052647822	0.336503345	MEG	33.11	1774.5	0.30	0.292884744	0.828670272	MEG	8.14	2754	-0.33	0.569624266	1	PEG	9.69	7742	0.066887483	4090.2	AT4G12640.1	RNA recognition motif (RRM)-containing protein	2.34	0.000136732	0.000450109	MEG	84.60	4200
AT3G24820	1.17	0.000561261	0.01005747	MEG	57.89	633	NA	NA	NA	NA	NA	3896	0.41	0.601143684	1	MEG	14.50	7742	0.000875594	4090.3	NA	NA	1.46	0.079925175	0.131007168	MEG	68.16	8435
AT4G10695	-1.97	0.019881679	0.178698796	PEG	79.43	1262	NA	NA	NA	NA	NA	3896	NA	NA	NA	NA	NA	7114.5	NA	4090.8	AT4G10695.1	CDC68-related	NA	NA	NA	NA	NA	6913
AT4G18820	0.61	0.137354872	0.543810231	MEG	27.23	2865	-0.31	0.139457396	0.651470041	PEG	8.87	1667	-0.43	0.486993741	1	PEG	15.51	7742	0.416577468	4091.3	AT4G18820.1	AAA-type ATPase family protein	-0.33	0.621515263	0.692431106	PEG	9.96	12410
AT5G65925	1.59	0.000588358	0.010444048	MEG	71.75	639	NA	NA	NA	NA	NA	3896	1.83	0.097836537	1	MEG	76.96	7742	0.000174832	4092.3	AT5G65925.1		1.36	0.239192927	0.319031864	MEG	64.97	10365
AT2G01610	-0.42	0.219743334	0.663385094	PEG	15.14	3755.5	-0.41	0.032408536	0.323643894	PEG	14.68	780.5	-0.28	0.517645146	1	PEG	7.47	7742	0.990232194	4092.7	AT2G01610.1	Plant invertase/pectin methylesterase inhibitor superfamily protein	NA	NA	NA	NA	NA	6913
